x,sin(x),Taylor_1,Taylor_3,Taylor_5,Taylor_7,Taylor_9
-9.79989995,0.36638604,-9.79989995,147.06062903,-606.16825119,1116.17995349,-1181.19427017
-9.78989495,0.35705857,-9.78989495,146.59069394,-602.80106293,1107.27600964,-1169.07510792
-9.77988994,0.34769536,-9.77988994,146.12173882,-599.44854843,1098.43240634,-1157.06678458
-9.76988494,0.33829735,-9.76988494,145.65376267,-596.11066073,1089.64880801,-1145.16841491
-9.75987994,0.32886548,-9.75987994,145.18676448,-592.78735298,1080.92488052,-1133.37911967
-9.74987494,0.31940068,-9.74987494,144.72074326,-589.47857846,1072.26029121,-1121.69802558
-9.73986993,0.30990392,-9.73986993,144.25569800,-586.18429050,1063.65470888,-1110.12426532
-9.72986493,0.30037613,-9.72986493,143.79162771,-582.90444255,1055.10780375,-1098.65697747
-9.71985993,0.29081828,-9.71985993,143.32853137,-579.63898816,1046.61924752,-1087.29530647
-9.70985493,0.28123131,-9.70985493,142.86640799,-576.38788098,1038.18871332,-1076.03840263
-9.69984992,0.27161620,-9.69984992,142.40525657,-573.15107475,1029.81587571,-1064.88542203
-9.68984492,0.26197389,-9.68984492,141.94507611,-569.92852330,1021.50041068,-1053.83552656
-9.67983992,0.25230536,-9.67983992,141.48586560,-566.72018057,1013.24199566,-1042.88788383
-9.66983492,0.24261158,-9.66983492,141.02762404,-563.52600059,1005.04030949,-1032.04166717
-9.65982991,0.23289351,-9.65982991,140.57035043,-560.34593750,996.89503243,-1021.29605559
-9.64982491,0.22315213,-9.64982491,140.11404377,-557.17994552,988.80584616,-1010.65023375
-9.63981991,0.21338841,-9.63981991,139.65870307,-554.02797897,980.77243376,-1000.10339192
-9.62981491,0.20360333,-9.62981491,139.20432730,-550.88999228,972.79447972,-989.65472594
-9.61980990,0.19379787,-9.61980990,138.75091549,-547.76593996,964.87166993,-979.30343722
-9.60980490,0.18397302,-9.60980490,138.29846661,-544.65577662,957.00369166,-969.04873269
-9.59979990,0.17412974,-9.59979990,137.84697968,-541.55945698,949.19023360,-958.88982475
-9.58979490,0.16426904,-9.58979490,137.39645369,-538.47693584,941.43098579,-948.82593128
-9.57978989,0.15439189,-9.57978989,136.94688764,-535.40816811,933.72563968,-938.85627557
-9.56978489,0.14449929,-9.56978489,136.49828053,-532.35310877,926.07388808,-928.98008631
-9.55977989,0.13459222,-9.55977989,136.05063135,-529.31171294,918.47542518,-919.19659757
-9.54977489,0.12467168,-9.54977489,135.60393911,-526.28393578,910.92994653,-909.50504872
-9.53976988,0.11473867,-9.53976988,135.15820280,-523.26973260,903.43714906,-899.90468447
-9.52976488,0.10479416,-9.52976488,134.71342142,-520.26905878,895.99673104,-890.39475479
-9.51975988,0.09483917,-9.51975988,134.26959397,-517.28186979,888.60839211,-880.97451487
-9.50975488,0.08487468,-9.50975488,133.82671945,-514.30812120,881.27183324,-871.64322516
-9.49974987,0.07490170,-9.49974987,133.38479686,-511.34776868,873.98675677,-862.40015125
-9.48974487,0.06492122,-9.48974487,132.94382520,-508.40076800,866.75286636,-853.24456391
-9.47973987,0.05493424,-9.47973987,132.50380345,-505.46707501,859.56986701,-844.17573902
-9.46973487,0.04494176,-9.46973487,132.06473064,-502.54664568,852.43746507,-835.19295757
-9.45972986,0.03494479,-9.45972986,131.62660574,-499.63943604,845.35536819,-826.29550558
-9.44972486,0.02494431,-9.44972486,131.18942776,-496.74540224,838.32328537,-817.48267415
-9.43971986,0.01494134,-9.43971986,130.75319570,-493.86450052,831.34092691,-808.75375936
-9.42971486,0.00493688,-9.42971486,130.31790856,-490.99668721,824.40800443,-800.10806227
-9.41970985,-0.00506808,-9.41970985,129.88356533,-488.14191875,817.52423087,-791.54488889
-9.40970485,-0.01507254,-9.40970485,129.45016501,-485.30015164,810.68932045,-783.06355015
-9.39969985,-0.02507548,-9.39969985,129.01770661,-482.47134252,803.90298873,-774.66336189
-9.38969485,-0.03507592,-9.38969485,128.58618912,-479.65544808,797.16495254,-766.34364477
-9.37968984,-0.04507284,-9.37968984,128.15561154,-476.85242514,790.47492999,-758.10372433
-9.36968484,-0.05506525,-9.36968484,127.72597286,-474.06223060,783.83264052,-749.94293088
-9.35967984,-0.06505215,-9.35967984,127.29727209,-471.28482144,777.23780482,-741.86059954
-9.34967484,-0.07503254,-9.34967484,126.86950823,-468.52015476,770.69014487,-733.85607016
-9.33966983,-0.08500542,-9.33966983,126.44268027,-465.76818773,764.18938393,-725.92868730
-9.32966483,-0.09496979,-9.32966483,126.01678721,-463.02887763,757.73524652,-718.07780025
-9.31965983,-0.10492465,-9.31965983,125.59182805,-460.30218183,751.32745845,-710.30276294
-9.30965483,-0.11486901,-9.30965483,125.16780179,-457.58805778,744.96574677,-702.60293395
-9.29964982,-0.12480187,-9.29964982,124.74470742,-454.88646305,738.64983978,-694.97767647
-9.28964482,-0.13472224,-9.28964482,124.32254396,-452.19735529,732.37946707,-687.42635828
-9.27963982,-0.14462912,-9.27963982,123.90131038,-449.52069223,726.15435946,-679.94835170
-9.26963482,-0.15452152,-9.26963482,123.48100570,-446.85643170,719.97424900,-672.54303360
-9.25962981,-0.16439846,-9.25962981,123.06162891,-444.20453164,713.83886901,-665.20978536
-9.24962481,-0.17425894,-9.24962481,122.64317901,-441.56495007,707.74795403,-657.94799280
-9.23961981,-0.18410198,-9.23961981,122.22565500,-438.93764510,701.70123983,-650.75704624
-9.22961481,-0.19392659,-9.22961481,121.80905587,-436.32257493,695.69846343,-643.63634040
-9.21960980,-0.20373179,-9.21960980,121.39338063,-433.71969787,689.73936305,-636.58527438
-9.20960480,-0.21351660,-9.20960480,120.97862828,-431.12897229,683.82367815,-629.60325169
-9.19959980,-0.22328003,-9.19959980,120.56479780,-428.55035670,677.95114939,-622.68968016
-9.18959480,-0.23302111,-9.18959480,120.15188821,-425.98380966,672.12151865,-615.84397195
-9.17958979,-0.24273887,-9.17958979,119.73989849,-423.42928984,666.33452903,-609.06554351
-9.16958479,-0.25243233,-9.16958479,119.32882766,-420.88675600,660.58992481,-602.35381556
-9.15957979,-0.26210052,-9.15957979,118.91867469,-418.35616700,654.88745149,-595.70821306
-9.14957479,-0.27174247,-9.14957479,118.50943861,-415.83748176,649.22685575,-589.12816520
-9.13956978,-0.28135722,-9.13956978,118.10111840,-413.33065935,643.60788547,-582.61310534
-9.12956478,-0.29094381,-9.12956478,117.69371305,-410.83565886,638.03028972,-576.16247102
-9.11955978,-0.30050128,-9.11955978,117.28722158,-408.35243954,632.49381874,-569.77570393
-9.10955478,-0.31002867,-9.10955478,116.88164298,-405.88096068,626.99822398,-563.45224985
-9.09954977,-0.31952502,-9.09954977,116.47697624,-403.42118170,621.54325803,-557.19155868
-9.08954477,-0.32898939,-9.08954477,116.07322037,-400.97306207,616.12867466,-550.99308438
-9.07953977,-0.33842082,-9.07953977,115.67037437,-398.53656139,610.75422883,-544.85628494
-9.06953477,-0.34781838,-9.06953477,115.26843722,-396.11163933,605.41967663,-538.78062237
-9.05952976,-0.35718113,-9.05952976,114.86740794,-393.69825566,600.12477534,-532.76556269
-9.04952476,-0.36650812,-9.04952476,114.46728552,-391.29637023,594.86928336,-526.81057588
-9.03951976,-0.37579842,-9.03951976,114.06806895,-388.90594299,589.65296028,-520.91513585
-9.02951476,-0.38505111,-9.02951476,113.66975725,-386.52693398,584.47556680,-515.07872045
-9.01950975,-0.39426525,-9.01950975,113.27234939,-384.15930333,579.33686480,-509.30081142
-9.00950475,-0.40343993,-9.00950475,112.87584439,-381.80301126,574.23661726,-503.58089438
-8.99949975,-0.41257423,-8.99949975,112.48024125,-379.45801808,569.17458833,-497.91845878
-8.98949475,-0.42166722,-8.98949475,112.08553895,-377.12428418,564.15054327,-492.31299792
-8.97948974,-0.43071801,-8.97948974,111.69173650,-374.80177007,559.16424847,-486.76400889
-8.96948474,-0.43972568,-8.96948474,111.29883290,-372.49043631,554.21547145,-481.27099255
-8.95947974,-0.44868934,-8.95947974,110.90682715,-370.19024358,549.30398085,-475.83345353
-8.94947474,-0.45760808,-8.94947474,110.51571824,-367.90115264,544.42954641,-470.45090020
-8.93946973,-0.46648102,-8.93946973,110.12550517,-365.62312434,539.59193899,-465.12284460
-8.92946473,-0.47530726,-8.92946473,109.73618695,-363.35611962,534.79093057,-459.84880251
-8.91945973,-0.48408592,-8.91945973,109.34776256,-361.10009950,530.02629421,-454.62829333
-8.90945473,-0.49281613,-8.90945473,108.96023102,-358.85502512,525.29780409,-449.46084013
-8.89944972,-0.50149701,-8.89944972,108.57359131,-356.62085766,520.60523548,-444.34596958
-8.88944472,-0.51012769,-8.88944472,108.18784244,-354.39755844,515.94836474,-439.28321194
-8.87943972,-0.51870730,-8.87943972,107.80298340,-352.18508884,511.32696930,-434.27210107
-8.86943472,-0.52723499,-8.86943472,107.41901319,-349.98341034,506.74082771,-429.31217437
-8.85942971,-0.53570991,-8.85942971,107.03593081,-347.79248449,502.18971958,-424.40297275
-8.84942471,-0.54413120,-8.84942471,106.65373527,-345.61227295,497.67342559,-419.54404065
-8.83941971,-0.55249803,-8.83941971,106.27242555,-343.44273747,493.19172750,-414.73492599
-8.82941471,-0.56080955,-8.82941471,105.89200066,-341.28383987,488.74440814,-409.97518014
-8.81940970,-0.56906493,-8.81940970,105.51245959,-339.13554208,484.33125141,-405.26435793
-8.80940470,-0.57726335,-8.80940470,105.13380135,-336.99780610,479.95204227,-400.60201760
-8.79939970,-0.58540399,-8.79939970,104.75602493,-334.87059403,475.60656671,-395.98772078
-8.78939470,-0.59348603,-8.78939470,104.37912933,-332.75386805,471.29461182,-391.42103250
-8.77938969,-0.60150866,-8.77938969,104.00311355,-330.64759044,467.01596569,-386.90152112
-8.76938469,-0.60947108,-8.76938469,103.62797659,-328.55172355,462.77041751,-382.42875835
-8.75937969,-0.61737249,-8.75937969,103.25371744,-326.46622984,458.55775746,-378.00231920
-8.74937469,-0.62521210,-8.74937469,102.88033511,-324.39107184,454.37777680,-373.62178200
-8.73936968,-0.63298914,-8.73936968,102.50782859,-322.32621218,450.23026779,-369.28672831
-8.72936468,-0.64070280,-8.72936468,102.13619688,-320.27161357,446.11502374,-364.99674298
-8.71935968,-0.64835234,-8.71935968,101.76543898,-318.22723881,442.03183899,-360.75141407
-8.70935468,-0.65593698,-8.70935468,101.39555389,-316.19305078,437.98050890,-356.55033284
-8.69934967,-0.66345595,-8.69934967,101.02654061,-314.16901246,433.96082984,-352.39309375
-8.68934467,-0.67090852,-8.68934467,100.65839813,-312.15508691,429.97259920,-348.27929444
-8.67933967,-0.67829393,-8.67933967,100.29112546,-310.15123728,426.01561540,-344.20853568
-8.66933467,-0.68561144,-8.66933467,99.92472159,-308.15742681,422.08967785,-340.18042138
-8.65932966,-0.69286032,-8.65932966,99.55918552,-306.17361882,418.19458695,-336.19455854
-8.64932466,-0.70003985,-8.64932466,99.19451625,-304.19977672,414.33014415,-332.25055726
-8.63931966,-0.70714930,-8.63931966,98.83071278,-302.23586401,410.49615185,-328.34803072
-8.62931466,-0.71418797,-8.62931466,98.46777410,-300.28184426,406.69241346,-324.48659512
-8.61930965,-0.72115515,-8.61930965,98.10569922,-298.33768115,402.91873339,-320.66586972
-8.60930465,-0.72805014,-8.60930465,97.74448714,-296.40333844,399.17491702,-316.88547676
-8.59929965,-0.73487226,-8.59929965,97.38413684,-294.47877996,395.46077074,-313.14504149
-8.58929465,-0.74162081,-8.58929465,97.02464734,-292.56396965,391.77610188,-309.44419212
-8.57928964,-0.74829513,-8.57928964,96.66601762,-290.65887152,388.12071878,-305.78255981
-8.56928464,-0.75489455,-8.56928464,96.30824670,-288.76344968,384.49443074,-302.15977865
-8.55927964,-0.76141840,-8.55927964,95.95133356,-286.87766831,380.89704801,-298.57548566
-8.54927464,-0.76786603,-8.54927464,95.59527720,-285.00149167,377.32838185,-295.02932073
-8.53926963,-0.77423680,-8.53926963,95.24007663,-283.13488414,373.78824443,-291.52092663
-8.52926463,-0.78053007,-8.52926463,94.88573083,-281.27781016,370.27644892,-288.04994901
-8.51925963,-0.78674521,-8.51925963,94.53223882,-279.43023425,366.79280942,-284.61603632
-8.50925463,-0.79288160,-8.50925463,94.17959959,-277.59212103,363.33714098,-281.21883985
-8.49924962,-0.79893862,-8.49924962,93.82781213,-275.76343521,359.90925962,-277.85801368
-8.48924462,-0.80491567,-8.48924462,93.47687545,-273.94414156,356.50898227,-274.53321470
-8.47923962,-0.81081215,-8.47923962,93.12678854,-272.13420496,353.13612683,-271.24410251
-8.46923462,-0.81662746,-8.46923462,92.77755041,-270.33359037,349.79051212,-267.99033951
-8.45922961,-0.82236103,-8.45922961,92.42916005,-268.54226283,346.47195791,-264.77159079
-8.44922461,-0.82801228,-8.44922461,92.08161645,-266.76018745,343.18028487,-261.58752416
-8.43921961,-0.83358065,-8.43921961,91.73491863,-264.98732947,339.91531462,-258.43781013
-8.42921461,-0.83906558,-8.42921461,91.38906557,-263.22365416,336.67686970,-255.32212186
-8.41920960,-0.84446652,-8.41920960,91.04405627,-261.46912691,333.46477356,-252.24013520
-8.40920460,-0.84978293,-8.40920460,90.69988974,-259.72371318,330.27885058,-249.19152860
-8.39919960,-0.85501427,-8.39919960,90.35656497,-257.98737853,327.11892604,-246.17598316
-8.38919460,-0.86016003,-8.38919460,90.01408096,-256.26008858,323.98482613,-243.19318256
-8.37918959,-0.86521969,-8.37918959,89.67243671,-254.54180906,320.87637795,-240.24281309
-8.36918459,-0.87019274,-8.36918459,89.33163122,-252.83250576,317.79340950,-237.32456357
-8.35917959,-0.87507868,-8.35917959,88.99166349,-251.13214457,314.73574967,-234.43812541
-8.34917459,-0.87987703,-8.34917459,88.65253251,-249.44069146,311.70322827,-231.58319253
-8.33916958,-0.88458731,-8.33916958,88.31423728,-247.75811248,308.69567597,-228.75946138
-8.32916458,-0.88920904,-8.32916458,87.97677680,-246.08437377,305.71292435,-225.96663089
-8.31915958,-0.89374176,-8.31915958,87.64015007,-244.41944155,302.75480587,-223.20440250
-8.30915458,-0.89818501,-8.30915458,87.30435609,-242.76328212,299.82115387,-220.47248008
-8.29914957,-0.90253836,-8.29914957,86.96939386,-241.11586187,296.91180256,-217.77056999
-8.28914457,-0.90680137,-8.28914457,86.63526238,-239.47714728,294.02658704,-215.09838100
-8.27913957,-0.91097360,-8.27913957,86.30196064,-237.84710488,291.16534328,-212.45562429
-8.26913457,-0.91505465,-8.26913457,85.96948764,-236.22570132,288.32790810,-209.84201345
-8.25912956,-0.91904410,-8.25912956,85.63784238,-234.61290333,285.51411920,-207.25726445
-8.24912456,-0.92294155,-8.24912456,85.30702386,-233.00867769,282.72381514,-204.70109564
-8.23911956,-0.92674662,-8.23911956,84.97703108,-231.41299130,279.95683534,-202.17322769
-8.22911456,-0.93045893,-8.22911456,84.64786303,-229.82581113,277.21302007,-199.67338364
-8.21910955,-0.93407809,-8.21910955,84.31951872,-228.24710422,274.49221045,-197.20128882
-8.20910455,-0.93760376,-8.20910455,83.99199715,-226.67683771,271.79424845,-194.75667089
-8.19909955,-0.94103557,-8.19909955,83.66529730,-225.11497880,269.11897689,-192.33925976
-8.18909455,-0.94437318,-8.18909455,83.33941819,-223.56149481,266.46623943,-189.94878766
-8.17908954,-0.94761626,-8.17908954,83.01435881,-222.01635311,263.83588055,-187.58498903
-8.16908454,-0.95076449,-8.16908454,82.69011815,-220.47952116,261.22774561,-185.24760058
-8.15907954,-0.95381755,-8.15907954,82.36669522,-218.95096650,258.64168074,-182.93636124
-8.14907454,-0.95677513,-8.14907454,82.04408901,-217.43065676,256.07753296,-180.65101212
-8.13906953,-0.95963693,-8.13906953,81.72229853,-215.91855964,253.53515007,-178.39129657
-8.12906453,-0.96240268,-8.12906453,81.40132277,-214.41464295,251.01438071,-176.15696008
-8.11905953,-0.96507210,-8.11905953,81.08116072,-212.91887453,248.51507434,-173.94775034
-8.10905453,-0.96764491,-8.10905453,80.76181140,-211.43122236,246.03708123,-171.76341715
-8.09904952,-0.97012086,-8.09904952,80.44327379,-209.95165445,243.58025247,-169.60371246
-8.08904452,-0.97249970,-8.08904452,80.12554690,-208.48013893,241.14443996,-167.46839035
-8.07903952,-0.97478119,-8.07903952,79.80862973,-207.01664399,238.72949639,-165.35720700
-8.06903452,-0.97696511,-8.06903452,79.49252126,-205.56113790,236.33527527,-163.26992065
-8.05902951,-0.97905124,-8.05902951,79.17722051,-204.11358903,233.96163090,-161.20629166
-8.04902451,-0.98103936,-8.04902451,78.86272646,-202.67396581,231.60841838,-159.16608241
-8.03901951,-0.98292928,-8.03901951,78.54903813,-201.24223677,229.27549360,-157.14905735
-8.02901451,-0.98472081,-8.02901451,78.23615450,-199.81837049,226.96271326,-155.15498296
-8.01900950,-0.98641378,-8.01900950,77.92407457,-198.40233567,224.66993481,-153.18362772
-8.00900450,-0.98800800,-8.00900450,77.61279735,-196.99410106,222.39701652,-151.23476212
-7.99899950,-0.98950332,-7.99899950,77.30232183,-195.59363550,220.14381742,-149.30815864
-7.98899450,-0.99089960,-7.98899450,76.99264701,-194.20090792,217.91019732,-147.40359174
-7.97898949,-0.99219669,-7.97898949,76.68377189,-192.81588731,215.69601681,-145.52083782
-7.96898449,-0.99339446,-7.96898449,76.37569547,-191.43854276,213.50113725,-143.65967526
-7.95897949,-0.99449279,-7.95897949,76.06841674,-190.06884343,211.32542076,-141.81988433
-7.94897449,-0.99549157,-7.94897449,75.76193471,-188.70675856,209.16873024,-140.00124726
-7.93896948,-0.99639071,-7.93896948,75.45624837,-187.35225748,207.03092935,-138.20354815
-7.92896448,-0.99719010,-7.92896448,75.15135672,-186.00530957,204.91188250,-136.42657300
-7.91895948,-0.99788968,-7.91895948,74.84725876,-184.66588433,202.81145485,-134.67010971
-7.90895448,-0.99848937,-7.90895448,74.54395349,-183.33395132,200.72951234,-132.93394801
-7.89894947,-0.99898912,-7.89894947,74.24143991,-182.00948016,198.66592162,-131.21787950
-7.88894447,-0.99938886,-7.88894447,73.93971701,-180.69244058,196.62055014,-129.52169762
-7.87893947,-0.99968857,-7.87893947,73.63878380,-179.38280239,194.59326604,-127.84519763
-7.86893447,-0.99988821,-7.86893447,73.33863927,-178.08053544,192.58393824,-126.18817658
-7.85892946,-0.99998776,-7.85892946,73.03928242,-176.78560971,190.59243637,-124.55043335
-7.84892446,-0.99998721,-7.84892446,72.74071225,-175.49799522,188.61863082,-122.93176858
-7.83891946,-0.99988657,-7.83891946,72.44292776,-174.21766209,186.66239268,-121.33198470
-7.82891446,-0.99968583,-7.82891446,72.14592794,-172.94458051,184.72359382,-119.75088588
-7.81890945,-0.99938503,-7.81890945,71.84971180,-171.67872074,182.80210677,-118.18827806
-7.80890445,-0.99898420,-7.80890445,71.55427833,-170.42005315,180.89780484,-116.64396888
-7.79889945,-0.99848336,-7.79889945,71.25962653,-169.16854815,179.01056203,-115.11776773
-7.78889445,-0.99788258,-7.78889445,70.96575541,-167.92417625,177.14025306,-113.60948569
-7.77888944,-0.99718191,-7.77888944,70.67266395,-166.68690803,175.28675338,-112.11893554
-7.76888444,-0.99638142,-7.76888444,70.38035116,-165.45671416,173.44993913,-110.64593175
-7.75887944,-0.99548119,-7.75887944,70.08881604,-164.23356538,171.62968716,-109.19029045
-7.74887444,-0.99448132,-7.74887444,69.79805758,-163.01743249,169.82587504,-107.75182943
-7.73886943,-0.99338190,-7.73886943,69.50807479,-161.80828641,168.03838105,-106.33036813
-7.72886443,-0.99218305,-7.72886443,69.21886665,-160.60609809,166.26708413,-104.92572762
-7.71885943,-0.99088488,-7.71885943,68.93043218,-159.41083860,164.51186395,-103.53773059
-7.70885443,-0.98948752,-7.70885443,68.64277036,-158.22247905,162.77260086,-102.16620134
-7.69884942,-0.98799111,-7.69884942,68.35588020,-157.04099065,161.04917592,-100.81096578
-7.68884442,-0.98639581,-7.68884442,68.06976070,-155.86634470,159.34147084,-99.47185138
-7.67883942,-0.98470177,-7.67883942,67.78441085,-154.69851253,157.64936806,-98.14868721
-7.66883442,-0.98290916,-7.66883442,67.49982965,-153.53746560,155.97275066,-96.84130387
-7.65882941,-0.98101816,-7.65882941,67.21601610,-152.38317541,154.31150244,-95.54953355
-7.64882441,-0.97902897,-7.64882441,66.93296921,-151.23561355,152.66550783,-94.27320995
-7.63881941,-0.97694177,-7.63881941,66.65068796,-150.09475170,151.03465198,-93.01216831
-7.62881441,-0.97475678,-7.62881441,66.36917135,-148.96056159,149.41882068,-91.76624537
-7.61880940,-0.97247422,-7.61880940,66.08841839,-147.83301505,147.81790040,-90.53527939
-7.60880440,-0.97009432,-7.60880440,65.80842808,-146.71208397,146.23177827,-89.31911012
-7.59879940,-0.96761731,-7.59879940,65.52919941,-145.59774032,144.66034209,-88.11757878
-7.58879440,-0.96504344,-7.58879440,65.25073138,-144.48995616,143.10348030,-86.93052807
-7.57878939,-0.96237298,-7.57878939,64.97302298,-143.38870361,141.56108203,-85.75780216
-7.56878439,-0.95960618,-7.56878439,64.69607323,-142.29395486,140.03303703,-84.59924663
-7.55877939,-0.95674332,-7.55877939,64.41988111,-141.20568221,138.51923572,-83.45470855
-7.54877439,-0.95378470,-7.54877439,64.14444562,-140.12385800,137.01956916,-82.32403637
-7.53876938,-0.95073060,-7.53876938,63.86976577,-139.04845466,135.53392907,-81.20707997
-7.52876438,-0.94758133,-7.52876438,63.59584054,-137.97944469,134.06220778,-80.10369065
-7.51875938,-0.94433722,-7.51875938,63.32266895,-136.91680068,132.60429831,-79.01372108
-7.50875438,-0.94099857,-7.50875438,63.05024999,-135.86049527,131.16009427,-77.93702532
-7.49874937,-0.93756573,-7.49874937,62.77858265,-134.81050121,129.72948993,-76.87345881
-7.48874437,-0.93403904,-7.48874437,62.50766594,-133.76679130,128.31238018,-75.82287835
-7.47873937,-0.93041886,-7.47873937,62.23749886,-132.72933841,126.90866055,-74.78514208
-7.46873437,-0.92670554,-7.46873437,61.96808039,-131.69811551,125.51822719,-73.76010948
-7.45872936,-0.92289946,-7.45872936,61.69940955,-130.67309563,124.14097687,-72.74764138
-7.44872436,-0.91900100,-7.44872436,61.43148532,-129.65425186,122.77680699,-71.74759991
-7.43871936,-0.91501054,-7.43871936,61.16430671,-128.64155740,121.42561556,-70.75984851
-7.42871436,-0.91092850,-7.42871436,60.89787272,-127.63498550,120.08730121,-69.78425194
-7.41870935,-0.90675527,-7.41870935,60.63218235,-126.63450948,118.76176319,-68.82067622
-7.40870435,-0.90249127,-7.40870435,60.36723459,-125.64010276,117.44890133,-67.86898867
-7.39869935,-0.89813694,-7.39869935,60.10302844,-124.65173881,116.14861612,-66.92905786
-7.38869435,-0.89369270,-7.38869435,59.83956290,-123.66939118,114.86080860,-66.00075365
-7.37868934,-0.88915901,-7.37868934,59.57683697,-122.69303350,113.58538045,-65.08394711
-7.36868434,-0.88453631,-7.36868434,59.31484964,-121.72263947,112.32223392,-64.17851058
-7.35867934,-0.87982507,-7.35867934,59.05359992,-120.75818287,111.07127190,-63.28431762
-7.34867434,-0.87502576,-7.34867434,58.79308681,-119.79963755,109.83239782,-62.40124300
-7.33866933,-0.87013886,-7.33866933,58.53330930,-118.84697743,108.60551575,-61.52916271
-7.32866433,-0.86516486,-7.32866433,58.27426639,-117.90017650,107.39053032,-60.66795394
-7.31865933,-0.86010426,-7.31865933,58.01595708,-116.95920883,106.18734675,-59.81749507
-7.30865433,-0.85495756,-7.30865433,57.75838037,-116.02404857,104.99587086,-58.97766566
-7.29864932,-0.84972529,-7.29864932,57.50153526,-115.09466994,103.81600903,-58.14834644
-7.28864432,-0.84440795,-7.28864432,57.24542074,-114.17104722,102.64766824,-57.32941931
-7.27863932,-0.83900609,-7.27863932,56.99003581,-113.25315478,101.49075602,-56.52076731
-7.26863432,-0.83352025,-7.26863432,56.73537948,-112.34096705,100.34518050,-55.72227464
-7.25862931,-0.82795097,-7.25862931,56.48145074,-111.43445855,99.21085036,-54.93382662
-7.24862431,-0.82229881,-7.24862431,56.22824858,-110.53360384,98.08767488,-54.15530971
-7.23861931,-0.81656435,-7.23861931,55.97577202,-109.63837760,96.97556386,-53.38661147
-7.22861431,-0.81074814,-7.22861431,55.72402004,-108.74875454,95.87442769,-52.62762059
-7.21860930,-0.80485078,-7.21860930,55.47299165,-107.86470946,94.78417733,-51.87822683
-7.20860430,-0.79887286,-7.20860430,55.22268584,-106.98621724,93.70472429,-51.13832107
-7.19859930,-0.79281497,-7.19859930,54.97310161,-106.11325282,92.63598061,-50.40779525
-7.18859430,-0.78667772,-7.18859430,54.72423796,-105.24579122,91.57785893,-49.68654239
-7.17858929,-0.78046172,-7.17858929,54.47609389,-104.38380753,90.53027241,-48.97445656
-7.16858429,-0.77416760,-7.16858429,54.22866840,-103.52727690,89.49313476,-48.27143291
-7.15857929,-0.76779598,-7.15857929,53.98196048,-102.67617457,88.46636024,-47.57736761
-7.14857429,-0.76134751,-7.14857429,53.73596914,-101.83047585,87.44986366,-46.89215789
-7.13856928,-0.75482283,-7.13856928,53.49069337,-100.99015611,86.44356036,-46.21570199
-7.12856428,-0.74822260,-7.12856428,53.24613218,-100.15519079,85.44736623,-45.54789919
-7.11855928,-0.74154746,-7.11855928,53.00228455,-99.32555543,84.46119769,-44.88864975
-7.10855428,-0.73479810,-7.10855428,52.75914949,-98.50122560,83.48497168,-44.23785497
-7.09854927,-0.72797518,-7.09854927,52.51672600,-97.68217697,82.51860570,-43.59541713
-7.08854427,-0.72107940,-7.08854427,52.27501307,-96.86838528,81.56201776,-42.96123948
-7.07853927,-0.71411143,-7.07853927,52.03400971,-96.05982632,80.61512639,-42.33522628
-7.06853427,-0.70707199,-7.06853427,51.79371490,-95.25647598,79.67785066,-41.71728274
-7.05852926,-0.69996176,-7.05852926,51.55412766,-94.45831020,78.75011016,-41.10731504
